variant,image,time_block,arm,v1_t_m,v1_r_deg,lidar_only_t_m,lidar_only_r_deg,result_t_m,result_r_deg,v1_success,lidar_only_success,result_success,solver_called,solver_converged,nfev,residual_calls,lidar_support,camera_support,lidar_objective_before,lidar_objective_after,camera_scan_gt_t_m,camera_scan_gt_r_deg,camera_reference_result_t_m,camera_reference_result_r_deg
balanced,1329069270936571,22151154,prediction_full,0.26360832978484644,1.3334491274452656,0.20890395944496157,1.196963103493585,0.20793815476839778,1.1737141362868875,True,True,True,True,True,8,56,137,17,0.10564949733904502,0.09923935847293619,0.0008071436406236623,0.0014739458121614186,0.20814756069969376,1.1738972537556205
balanced,1329069270936571,22151154,prediction_common,0.26360832978484644,1.3334491274452656,0.20890395944496157,1.196963103493585,0.20845877742551505,1.2013594965621053,True,True,True,True,True,8,56,137,24,0.10564949733904502,0.09933420496072834,0.0008071436406236623,0.0014739458121614186,0.20867929198013854,1.2015124112363404
balanced,1329069270936571,22151154,oracle_prediction,0.26360832978484644,1.3334491274452656,0.20890395944496157,1.196963103493585,0.13096231305479958,0.8253688864673699,True,True,True,True,True,9,63,137,18,0.10564949733904502,0.11550815165307854,0.0008071436406236623,0.0014739458121614186,0.1312500414960648,0.8249057007313798
balanced,1329069270936571,22151154,oracle_matched_random,0.26360832978484644,1.3334491274452656,0.20890395944496157,1.196963103493585,0.256111594786898,1.4166577103183835,True,True,True,True,True,8,56,137,5,0.10564949733904502,0.10186921926265179,0.0008071436406236623,0.0014739458121614186,0.25629488216729623,1.4169006634436907
balanced,1329069271936728,22151154,lidar_only,0.16696861167593555,1.0790583066979498,0.16842763673120606,1.0408162415944788,0.16842763673120606,1.0408162415944788,True,True,True,True,True,7,49,195,0,0.14348991564695354,0.14159309364783407,0.00019536676805088227,0.00017388649138529172,0.1684336982139409,1.0408329418041617
balanced,1329069271936728,22151154,prediction_full,0.16696861167593555,1.0790583066979498,0.16842763673120606,1.0408162415944788,0.17384010731058513,1.121122251880393,True,True,True,True,True,7,49,195,24,0.14348991564695354,0.14237171785556596,0.00019536676805088227,0.00017388649138529172,0.17384879295031158,1.1211300047208066
balanced,1329069271936728,22151154,prediction_common,0.16696861167593555,1.0790583066979498,0.16842763673120606,1.0408162415944788,0.16851371053809158,1.0340824532801012,True,True,True,True,True,7,49,195,25,0.14348991564695354,0.14165476889837814,0.00019536676805088227,0.00017388649138529172,0.16851657074956317,1.0341013259805798
balanced,1329069271936728,22151154,oracle_prediction,0.16696861167593555,1.0790583066979498,0.16842763673120606,1.0408162415944788,0.15705577961464107,0.9230254995550428,True,True,True,True,True,8,56,195,23,0.14348991564695354,0.14415757083943473,0.00019536676805088227,0.00017388649138529172,0.1570796007567226,0.9230647549989615
balanced,1329069271936728,22151154,oracle_matched_random,0.16696861167593555,1.0790583066979498,0.16842763673120606,1.0408162415944788,0.1592299932502077,0.900309388766667,True,True,True,True,True,8,56,195,10,0.14348991564695354,0.14394875933207565,0.00019536676805088227,0.00017388649138529172,0.15927102717758715,0.9003340899458184
balanced,1329069272936767,22151154,lidar_only,0.21228366606161284,1.038450647369272,0.19737677851233854,0.9844249627524165,0.19737677851233854,0.9844249627524165,True,True,True,True,True,7,49,176,0,0.12989038010933296,0.12905526651742855,0.0032317988325946097,0.0016380526662701147,0.19974074951152,0.9856862973832917
balanced,1329069272936767,22151154,prediction_full,0.21228366606161284,1.038450647369272,0.19737677851233854,0.9844249627524165,0.19856892440624607,1.0577749205821148,True,True,True,True,True,8,56,176,29,0.12989038010933296,0.12934015929565937,0.0032317988325946097,0.0016380526662701147,0.20084744379857772,1.0590908713263696
balanced,1329069272936767,22151154,prediction_common,0.21228366606161284,1.038450647369272,0.19737677851233854,0.9844249627524165,0.2062728335281747,1.0725920207791237,True,True,True,True,True,8,56,176,38,0.12989038010933296,0.1298173133401897,0.0032317988325946097,0.0016380526662701147,0.20848083723895053,1.073957467251531
balanced,1329069272936767,22151154,oracle_prediction,0.21228366606161284,1.038450647369272,0.19737677851233854,0.9844249627524165,0.21091908993045091,1.158416306612255,True,True,True,True,True,7,49,176,34,0.12989038010933296,0.13443044363970022,0.0032317988325946097,0.0016380526662701147,0.21280715872006858,1.159893085001059
